City,Date,CO
Ahmedabad,2015-01-01,0.92
Ahmedabad,2015-01-02,0.97
Ahmedabad,2015-01-03,17.4
Ahmedabad,2015-01-04,1.7
Ahmedabad,2015-01-05,22.1
Ahmedabad,2015-01-06,45.41
Ahmedabad,2015-01-07,112.16
Ahmedabad,2015-01-08,80.87
Ahmedabad,2015-01-09,29.16
Ahmedabad,2015-01-10,
Ahmedabad,2015-01-11,132.07
Ahmedabad,2015-01-12,52.04
Ahmedabad,2015-01-13,48.82
Ahmedabad,2015-01-14,19.2
Ahmedabad,2015-01-15,0.6
Ahmedabad,2015-01-16,1.63
Ahmedabad,2015-01-17,11.44
Ahmedabad,2015-01-18,6.1
Ahmedabad,2015-01-19,2.51
Ahmedabad,2015-01-20,7.92
Ahmedabad,2015-01-21,9.52
Ahmedabad,2015-01-22,9.05
Ahmedabad,2015-01-23,22.53
Ahmedabad,2015-01-24,2.03
Ahmedabad,2015-01-25,1.42
Ahmedabad,2015-01-26,2.27
Ahmedabad,2015-01-27,2.19
Ahmedabad,2015-01-28,5.72
Ahmedabad,2015-01-29,6.93
Ahmedabad,2015-01-30,13.85
Ahmedabad,2015-01-31,24.39
Ahmedabad,2015-02-01,43.48
Ahmedabad,2015-02-02,54.56
Ahmedabad,2015-02-03,30.61
Ahmedabad,2015-02-04,2.37
Ahmedabad,2015-02-05,2.6
Ahmedabad,2015-02-06,1.16
Ahmedabad,2015-02-07,7.29
Ahmedabad,2015-02-08,8.92
Ahmedabad,2015-02-09,4.32
Ahmedabad,2015-02-10,1.41
Ahmedabad,2015-02-11,6.34
Ahmedabad,2015-02-12,14.19
Ahmedabad,2015-02-13,18.18
Ahmedabad,2015-02-14,37.49
Ahmedabad,2015-02-15,15.55
Ahmedabad,2015-02-16,19.85
Ahmedabad,2015-02-17,15.96
Ahmedabad,2015-02-18,16.24
Ahmedabad,2015-02-19,11.25
Ahmedabad,2015-02-20,33.84
Ahmedabad,2015-02-21,61.95
Ahmedabad,2015-02-22,45.45
Ahmedabad,2015-02-23,77.7
Ahmedabad,2015-02-24,12.56
Ahmedabad,2015-02-25,2.23
Ahmedabad,2015-02-26,
Ahmedabad,2015-02-27,
